1907.06902	ferrari-dacrema-recsys2019	really making
1806.02643	balduzzi-reeval-neurips2018	re-evaluating
1709.06560	henderson-deeprl-aaai2018	that matters
2003.08505	musgrave-metric-eccv2020	reality check
1711.10337	lucic-gans-neurips2018	created equal
2108.13264	agarwal-precipice-neurips2021	precipice
2202.06985	abe-ensembles-neurips2022	ensembles
1612.01474	lakshminarayanan-ensembles-neurips2017	scalable predictive
1806.08734	rahaman-spectralbias-icml2019	spectral bias
1711.00165	lee-dnngp-iclr2018	gaussian processes
2305.20028	li-rudner-wilson-bnn-iclr2024	surrogates
2006.10108	liu-sngp-neurips2020	distance
2003.02037	vanamersfoort-duq-icml2020	deterministic
2102.11409	vanamersfoort-due-2021	feature collapse
1910.01739	eriksson-turbo-neurips2019	local bayesian
2202.08450	trabucco-designbench-icml2022	design-bench
2405.05349	chemingui-pgs-aaai2024	optimization
2410.11502	tan-rank-iclr2025	rank
1902.10811	recht-imagenet-icml2019	imagenet
1707.05589	melis-lstm-iclr2018	evaluation
